Country Name,Country Code,Series Name,2015 [YR2015]
Afghanistan,AFG,GDP (current US$),19199437989
Afghanistan,AFG,GDP growth (annual %),1.519911264
Afghanistan,AFG,GDP per capita (current US$),590.2695154
Afghanistan,AFG,Surface area (sq. km),652860
Albania,ALB,GDP (current US$),11455595709
Albania,ALB,GDP growth (annual %),2.56
Albania,ALB,GDP per capita (current US$),3965.016806
Albania,ALB,"Population, total",2889167
Albania,ALB,Surface area (sq. km),28750
Algeria,DZA,GDP (current US$),1.67E+11
Algeria,DZA,GDP growth (annual %),3.9
Algeria,DZA,GDP per capita (current US$),4206.031232
Algeria,DZA,"Population, total",39666519
Algeria,DZA,Surface area (sq. km),2381740
American Samoa,ASM,GDP (current US$),..
American Samoa,ASM,GDP growth (annual %),..
American Samoa,ASM,GDP per capita (current US$),..
American Samoa,ASM,"Population, total",55538
American Samoa,ASM,Surface area (sq. km),200
Andorra,ADO,GDP (current US$),..
Andorra,ADO,GDP growth (annual %),..
Andorra,ADO,GDP per capita (current US$),..
Andorra,ADO,"Population, total",70473
Andorra,ADO,Surface area (sq. km),470
Angola,AGO,GDP (current US$),1.03E+11
Angola,AGO,GDP growth (annual %),2.997704073
Angola,AGO,GDP per capita (current US$),4102.11859
Angola,AGO,"Population, total",25021974
Angola,AGO,Surface area (sq. km),1246700
Antigua and Barbuda,ATG,CO2 emissions (kg per PPP $ of GDP),..
Antigua and Barbuda,ATG,CO2 emissions (kt),..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),..
Antigua and Barbuda,ATG,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Antigua and Barbuda,ATG,CO2 emissions from gaseous fuel consumption (% of total),..
Antigua and Barbuda,ATG,GDP (current US$),1297285370
Antigua and Barbuda,ATG,GDP growth (annual %),3.664120729
Antigua and Barbuda,ATG,GDP per capita (current US$),14128.87855
Antigua and Barbuda,ATG,"Population, total",91818
Antigua and Barbuda,ATG,Surface area (sq. km),440
Argentina,ARG,CO2 emissions (kg per PPP $ of GDP),..
Argentina,ARG,CO2 emissions (kt),..
Argentina,ARG,CO2 emissions (metric tons per capita),..
Argentina,ARG,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Argentina,ARG,CO2 emissions from gaseous fuel consumption (% of total),..
Argentina,ARG,GDP (current US$),5.83E+11
Argentina,ARG,GDP growth (annual %),2.372296017
Argentina,ARG,GDP per capita (current US$),13431.87834
Argentina,ARG,"Population, total",43416755
Argentina,ARG,Surface area (sq. km),2780400
Armenia,ARM,CO2 emissions (kg per PPP $ of GDP),..
Armenia,ARM,CO2 emissions (kt),..
Armenia,ARM,CO2 emissions (metric tons per capita),..
Armenia,ARM,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Armenia,ARM,CO2 emissions from gaseous fuel consumption (% of total),..
Armenia,ARM,GDP (current US$),10561401185
Armenia,ARM,GDP growth (annual %),3.000000001
Armenia,ARM,GDP per capita (current US$),3499.804218
Armenia,ARM,"Population, total",3017712
Armenia,ARM,Surface area (sq. km),29740
Aruba,ABW,CO2 emissions (kg per PPP $ of GDP),..
Aruba,ABW,CO2 emissions (kt),..
Aruba,ABW,CO2 emissions (metric tons per capita),..
Aruba,ABW,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Aruba,ABW,CO2 emissions from gaseous fuel consumption (% of total),..
Aruba,ABW,GDP (current US$),..
Aruba,ABW,GDP growth (annual %),..
Aruba,ABW,GDP per capita (current US$),..
Aruba,ABW,"Population, total",103889
Aruba,ABW,Surface area (sq. km),180
Australia,AUS,CO2 emissions (kg per PPP $ of GDP),..
Australia,AUS,CO2 emissions (kt),..
Australia,AUS,CO2 emissions (metric tons per capita),..
Australia,AUS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Australia,AUS,CO2 emissions from gaseous fuel consumption (% of total),..
Australia,AUS,GDP (current US$),1.34E+12
Australia,AUS,GDP growth (annual %),2.257825112
Australia,AUS,GDP per capita (current US$),56327.72145
Australia,AUS,"Population, total",23781169
Australia,AUS,Surface area (sq. km),7741220
Austria,AUT,CO2 emissions (kg per PPP $ of GDP),..
Austria,AUT,CO2 emissions (kt),..
Austria,AUT,CO2 emissions (metric tons per capita),..
Austria,AUT,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Austria,AUT,CO2 emissions from gaseous fuel consumption (% of total),..
Austria,AUT,GDP (current US$),3.74E+11
Austria,AUT,GDP growth (annual %),0.862105019
Austria,AUT,GDP per capita (current US$),43438.86304
Austria,AUT,"Population, total",8611088
Austria,AUT,Surface area (sq. km),83879
Azerbaijan,AZE,CO2 emissions (kg per PPP $ of GDP),..
Azerbaijan,AZE,CO2 emissions (kt),..
Azerbaijan,AZE,CO2 emissions (metric tons per capita),..
Azerbaijan,AZE,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Azerbaijan,AZE,CO2 emissions from gaseous fuel consumption (% of total),..
Azerbaijan,AZE,GDP (current US$),53047140347
Azerbaijan,AZE,GDP growth (annual %),1.1
Azerbaijan,AZE,GDP per capita (current US$),5496.34464
Azerbaijan,AZE,"Population, total",9651349
Azerbaijan,AZE,Surface area (sq. km),86600
"Bahamas, The",BHS,CO2 emissions (kg per PPP $ of GDP),..
"Bahamas, The",BHS,CO2 emissions (kt),..
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),..
"Bahamas, The",BHS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
