,All Causes,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,STDs excluding HIV,Syphilis,Chlamydia,Gonorrhoea,Trichomoniasis,Genital herpes,Other STDs,HIV/AIDS,Diarrhoeal diseases,Childhood-cluster diseases,Whooping cough,Diphtheria,Measles,Tetanus,Meningitis,Encephalitis,Hepatitis,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,Parasitic and vector diseases,Malaria,African Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Cysticercosis,Echinococcosis,Dengue,Trachoma,Yellow fever,Rabies,Intestinal nematode infections,Ascariasis,Trichuriasis,Hookworm disease,Food-bourne trematodes,Leprosy,Other infectious diseases,Respiratory Infectious ,Lower respiratory infections,Upper respiratory infections,Otitis media,Maternal conditions,Neonatal conditions,Preterm birth complications,Birth asphyxia and birth trauma,Neonatal sepsis and infections,Other neonatal conditions,Nutritional deficiencies,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Other nutritional deficiencies,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,Nasopharynx,Other pharynx,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Liver cancer secondary to hepatitis B,Liver cancer secondary to hepatitis C,Liver cancer secondary to alcohol use,Other liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Melanoma and other skin cancers,Malignant skin melanoma,Non-melanoma skin cancer,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Testicular cancer,Kidney cancer,Bladder cancer,Brain and nervous system cancers,Gallbladder and biliary tract cancer,Larynx cancer,Thyroid cancer,Mesothelioma,"Lymphomas, multiple myeloma",Hodgkin lymphoma,Non-Hodgkin lymphoma,Multiple myeloma,Leukaemia,,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Thalassaemias,Sickle cell disorders and trait,Other haemoglobinopathies and haemolytic anaemias,"Other endocrine, blood and immune disorders",Mental and substance use disorders,Depressive disorders,Major depressive disorder,Dysthymia,Bipolar disorder,Schizophrenia,Alcohol use disorders,Drug use disorders,Opioid use disorders,Cocaine use disorders,Amphetamine use disorders,Cannabis use disorders,Other drug use disorders,Anxiety disorders,Eating disorders,Autism and Asperger syndrome,Childhood behavioural disorders,Attention deficit/hyperactivity syndrome,Conduct disorder,Idiopathic intellectual disability,Other mental and behavioural disorders,Neurological conditions,Alzheimer disease and other dementias,Parkinson disease,Epilepsy,Multiple sclerosis,Migraine,Non-migraine headache,Other neurological conditions,Sense organ diseases,Cardiovascular diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Stroke,Ischaemic stroke,Haemorrhagic stroke,"Cardiomyopathy, myocarditis, endocarditis",Other circulatory diseases,Respiratory diseases,Chronic obstructive pulmonary disease,Asthma,Other respiratory diseases,Digestive diseases,Peptic ulcer disease,Cirrhosis of the liver,Cirrhosis due to hepatitis B,Cirrhosis due to hepatitis C,Cirrhosis due to alcohol use,Other liver cirrhosis,Appendicitis,Gastritis and duodenitis,Paralytic ileus and intestinal obstruction,Inflammatory bowel disease,Gallbladder and biliary diseases,Pancreatitis,Other digestive diseases,Genitourinary diseases,Kidney diseases,Acute glomerulonephritis,Chronic kidney disease due to diabetes,Other chronic kidney disease,Benign prostatic hyperplasia,Urolithiasis,Other urinary diseases,Infertility,Gynecological diseases,Skin diseases,Musculoskeletal diseases,Rheumatoid arthritis,Osteoarthritis,Gout,Back and neck pain,Other musculoskeletal disorders,Congenital anomalies,Neural tube defects,Cleft lip and cleft palate,Down syndrome,Congenital heart anomalies,Other chromosomal anomalies,Other congenital anomalies,Oral conditions,Sudden infant death syndrome,Injuries,Unintentional injuries,Road injury,Poisonings,Falls,"Fire, heat and hot substances",Drowning,Exposure to mechanical forces,Natural disasters,Other unintentional injuries,Intentional injuries,Self-harm,Interpersonal violence,Collective violence and legal intervention
AFG,260.0,102.5,37.4,13.3,0.9,0.9,0.0,0.0,.,.,0.0,0.3,12.1,4.4,1.4,0.1,2.0,0.9,3.6,0.2,0.5,0.1,0.2,0.0,0.1,0.9,0.2,.,.,.,0.1,.,.,0.0,0.0,0.0,.,.,0.6,0.2,0.2,.,.,.,0.0,1.0,23.9,23.8,0.0,0.1,4.5,35.1,13.7,10.3,6.6,4.4,1.7,1.6,0.0,.,0.0,0.0,110.4,17.8,1.2,0.9,0.1,0.3,1.4,1.9,0.8,0.8,0.4,0.2,0.1,0.1,0.2,1.1,0.2,0.1,0.1,2.0,0.6,0.3,0.3,0.2,0.1,0.3,0.4,0.8,0.1,0.3,0.1,0.0,1.3,0.3,0.9,0.1,0.8,2.7,1.1,3.0,2.4,0.5,0.8,0.5,0.6,0.3,.,.,.,.,0.0,0.2,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,3.6,2.1,0.0,1.2,0.0,.,.,0.2,.,55.0,0.8,1.8,30.1,18.2,8.2,10.0,1.2,2.9,7.7,4.4,2.9,0.5,7.5,1.2,3.8,1.7,0.8,0.2,1.1,0.5,0.0,0.4,0.1,0.4,0.2,0.8,5.1,4.7,0.0,0.9,3.8,.,0.0,0.3,.,0.0,0.3,0.1,0.0,.,.,.,0.1,6.1,1.0,0.0,0.3,3.3,0.1,1.4,.,0.4,47.0,29.6,4.9,0.5,4.3,0.6,4.6,2.1,0.1,12.5,17.4,1.8,2.3,13.3
ALB,21.8,0.8,0.1,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,0.0,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,20.2,5.1,0.1,0.1,0.0,0.0,0.1,0.7,0.2,0.3,0.1,0.1,0.0,0.0,0.2,1.1,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.1,0.9,0.1,0.0,0.0,.,.,0.1,.,11.7,0.0,0.1,5.5,4.7,0.8,3.9,0.6,0.7,0.8,0.5,0.1,0.1,0.4,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.1,0.2,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,.,0.0,0.9,0.6,0.4,0.0,0.1,0.0,0.0,0.1,.,0.1,0.2,0.1,0.1,.
DZA,195.9,31.5,7.8,3.1,0.1,0.1,0.0,0.0,.,.,0.0,0.1,2.1,0.3,0.2,0.0,0.1,0.0,0.6,0.5,0.4,0.0,0.3,0.0,0.1,0.2,0.0,.,.,0.1,0.1,.,.,0.0,0.0,.,.,.,0.1,0.0,0.0,.,.,.,.,0.3,10.0,9.9,0.0,0.0,0.9,11.7,5.3,3.3,2.1,0.9,1.1,1.0,0.0,.,0.1,0.0,144.6,24.3,0.9,0.2,0.6,0.1,0.2,1.7,2.3,0.5,0.1,0.2,0.1,0.0,0.5,2.7,0.2,0.1,0.1,3.1,0.6,0.1,0.6,0.7,0.0,0.3,0.8,1.2,0.8,0.3,0.5,0.1,1.8,0.4,1.0,0.5,1.3,3.2,0.7,10.9,1.8,0.2,0.1,0.6,0.9,0.5,.,.,.,.,0.0,0.1,0.4,0.4,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,10.5,9.3,0.1,0.7,0.0,.,.,0.4,.,69.3,0.6,4.2,33.8,22.9,12.2,10.7,3.8,4.0,4.9,2.7,1.5,0.7,8.5,0.7,2.2,0.7,0.9,0.1,0.5,0.2,0.0,3.1,0.3,0.3,0.2,1.4,7.7,7.0,0.0,1.4,5.6,.,0.0,0.7,.,0.0,0.6,0.3,0.0,.,.,.,0.3,4.6,0.5,0.0,0.1,1.4,0.1,2.4,.,0.1,19.8,16.7,9.4,0.4,1.5,1.5,0.8,0.6,.,2.4,3.1,1.2,1.7,0.2
AGO,341.3,210.9,94.4,11.0,4.9,4.9,0.0,0.0,.,.,0.0,12.4,33.2,3.5,0.9,0.0,0.4,2.1,7.7,0.4,0.6,0.2,0.2,0.0,0.2,16.4,14.4,0.1,.,0.7,0.0,.,.,0.5,0.0,0.0,.,0.4,0.4,0.1,0.1,.,.,.,0.1,4.0,45.3,45.1,0.0,0.2,5.8,50.9,21.2,18.4,8.5,2.9,14.6,11.0,0.1,.,3.3,0.2,93.9,8.2,0.3,0.2,0.1,0.1,0.5,0.4,0.4,0.5,0.2,0.2,0.2,0.0,0.1,0.2,0.2,0.1,0.1,0.7,1.2,0.1,0.2,0.8,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.5,0.1,0.3,0.1,0.2,1.6,0.4,5.3,7.7,0.0,4.8,0.9,2.0,0.7,.,.,.,.,0.0,0.4,0.3,0.3,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,4.4,1.3,0.1,2.8,0.0,.,.,0.3,.,33.2,1.3,2.9,10.8,12.8,4.0,8.8,1.7,3.6,7.0,3.6,2.8,0.6,10.5,1.2,4.7,1.0,1.1,1.8,0.7,0.8,0.3,1.2,0.4,0.5,0.3,1.1,3.3,2.2,0.0,0.6,1.6,.,0.0,1.0,.,0.1,0.6,0.3,0.0,.,.,.,0.3,11.8,1.8,0.0,0.5,5.2,0.6,3.7,.,0.3,36.6,29.0,6.1,1.4,1.6,3.2,7.9,2.8,.,6.0,7.5,5.1,2.4,.
ATG,0.6,0.1,0.0,0.0,0.0,0.0,.,.,.,.,.,0.0,0.0,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,0.0,.,.,.,0.0,0.0,0.0,.,.,.,.,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,.,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.0,0.0,0.0,0.0,0.0,.,.,0.0,.,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,.
ARG,332.6,40.9,5.7,0.7,0.1,0.1,0.0,0.0,.,.,0.0,2.3,0.6,0.1,0.1,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.1,0.0,.,0.7,.,.,0.4,.,0.0,.,.,0.0,0.0,0.0,.,0.2,0.0,0.0,0.0,.,.,.,0.0,0.3,29.8,29.8,0.0,0.0,0.4,3.7,2.4,0.4,0.5,0.4,1.4,1.3,0.0,.,0.0,0.1,268.1,71.1,1.0,0.7,0.1,0.3,2.1,3.3,8.5,2.1,0.3,0.7,1.0,0.1,4.6,11.2,1.2,0.6,0.5,6.6,2.1,0.8,1.4,4.8,0.2,2.2,1.5,1.3,1.5,1.0,0.2,0.2,2.5,0.2,1.6,0.8,1.9,8.7,3.1,10.4,2.2,0.0,0.0,0.8,1.3,1.5,.,.,.,.,0.0,0.7,0.8,0.5,0.0,0.1,.,0.1,.,0.0,.,.,.,.,.,.,12.9,10.8,1.0,0.3,0.1,.,.,0.7,.,111.9,3.4,5.8,60.1,24.6,12.9,11.7,5.5,12.6,20.4,16.7,0.9,2.8,14.5,0.8,7.3,1.6,2.7,2.5,0.6,0.2,0.1,2.2,0.1,0.9,0.8,2.1,14.2,11.0,0.0,4.6,6.4,.,0.0,3.3,.,0.0,1.5,0.7,0.2,.,.,.,0.5,3.3,0.2,0.0,0.2,1.4,0.2,1.4,.,0.3,23.5,15.3,6.1,0.4,1.6,0.9,0.9,1.0,.,4.4,8.2,6.2,2.0,.
ARM,29.4,0.9,0.3,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,.,.,0.0,0.0,.,.,.,.,0.0,0.0,.,.,.,.,0.0,0.4,0.4,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,27.4,8.0,0.1,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.1,0.1,0.0,0.0,0.3,0.9,0.1,0.1,0.0,0.4,0.1,0.0,0.1,0.2,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,4.0,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.1,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.0,1.0,0.0,0.0,0.0,.,.,0.0,.,13.9,0.1,0.6,9.1,3.5,2.1,1.3,0.1,0.5,1.2,1.0,0.0,0.1,1.1,0.1,0.7,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.5,0.3,0.0,0.0,0.3,.,0.0,0.2,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,1.1,0.9,0.5,0.0,0.1,0.0,0.1,0.0,.,0.2,0.2,0.2,0.1,.
AUS,153.0,7.2,2.3,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,.,0.0,0.0,.,.,.,.,.,.,0.0,.,0.0,.,.,0.0,.,.,.,.,.,0.0,1.7,4.2,4.2,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.1,0.3,0.1,0.0,.,0.2,0.0,137.0,44.5,0.9,0.5,0.1,0.3,1.4,1.3,5.8,1.6,0.6,0.3,0.6,0.1,2.6,8.5,2.4,1.7,0.7,3.2,0.4,0.4,1.0,3.5,0.0,1.1,1.2,1.5,0.3,0.2,0.1,0.7,2.8,0.1,1.7,1.0,1.9,1.6,1.2,4.5,2.2,0.0,0.0,0.2,2.0,1.5,.,.,.,.,0.1,0.4,1.1,0.8,0.0,0.1,.,0.1,.,0.0,.,.,.,.,.,.,17.5,13.4,1.8,0.3,0.2,.,.,1.8,.,42.7,0.4,1.2,23.2,10.5,5.1,5.4,1.4,6.0,11.3,8.2,0.5,2.7,5.7,0.3,1.4,0.5,0.3,0.5,0.1,0.0,0.0,0.6,0.1,0.4,0.3,2.6,3.5,2.6,0.0,0.7,1.9,.,0.0,0.9,.,0.0,0.5,1.1,0.2,.,.,.,0.9,0.7,0.0,0.0,0.1,0.2,0.1,0.3,.,0.1,8.8,5.7,1.3,0.1,2.3,0.1,0.2,0.1,.,1.7,3.0,2.8,0.2,.
AUT,78.8,1.5,0.5,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,.,.,.,.,.,.,.,0.2,0.9,0.9,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,72.9,21.0,0.6,0.3,0.0,0.2,0.4,1.0,2.5,0.9,0.2,0.3,0.5,0.0,1.6,3.9,0.5,0.4,0.1,1.8,0.2,0.3,0.5,1.3,0.0,0.5,0.6,0.6,0.4,0.2,0.1,0.1,1.2,0.0,0.7,0.4,0.9,1.0,0.7,3.1,1.1,0.0,0.0,0.1,1.0,0.6,.,.,.,.,0.0,0.4,0.2,0.1,0.0,0.0,.,0.1,.,0.0,.,.,.,.,.,.,4.1,2.4,1.0,0.1,0.1,.,.,0.5,.,32.7,0.2,2.4,19.3,5.1,2.9,2.2,1.4,4.3,3.7,3.3,0.1,0.3,3.2,0.2,1.7,0.3,0.4,0.9,0.1,0.0,0.0,0.2,0.1,0.2,0.1,0.8,2.0,1.7,0.0,0.6,1.1,.,0.0,0.3,.,0.0,0.1,0.2,0.0,.,.,.,0.2,0.3,0.0,0.0,0.1,0.1,0.0,0.1,.,0.0,4.5,3.0,0.5,0.0,0.9,0.0,0.0,0.1,.,1.4,1.5,1.4,0.1,.
AZE,67.4,6.5,1.2,0.0,0.1,0.1,0.0,0.0,.,.,0.0,0.3,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,.,.,0.0,0.0,.,.,.,0.0,0.0,0.0,.,.,.,.,0.1,1.8,1.8,0.0,0.0,0.0,3.4,1.8,1.0,0.5,0.2,0.0,0.0,0.0,.,0.0,0.0,57.9,9.9,0.2,0.1,0.0,0.1,0.4,1.1,0.4,0.5,0.2,0.2,0.1,0.0,0.2,1.1,0.1,0.0,0.1,0.5,0.2,0.0,0.1,0.2,0.0,0.1,0.1,0.4,0.0,0.1,0.0,.,0.2,0.1,0.1,0.0,0.3,3.4,0.0,1.6,0.5,0.2,0.0,0.1,0.2,0.2,.,.,.,.,0.0,0.1,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.9,1.6,0.0,0.2,0.0,.,.,0.1,.,35.7,0.3,0.6,25.0,8.8,2.7,6.2,0.4,0.7,2.2,1.7,0.2,0.3,3.4,0.2,2.7,1.1,0.9,0.2,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.3,1.3,1.1,0.0,0.0,1.0,.,0.0,0.3,.,0.0,0.0,0.0,0.0,.,.,.,0.0,1.1,0.0,0.0,0.0,0.7,0.0,0.3,.,0.1,3.1,2.5,1.0,0.1,0.2,0.4,0.2,0.2,.,0.5,0.5,0.3,0.2,.
