,,,ISO-3 Code,AFG,ALB,DZA,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,LCA,VCT,WSM,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SSD,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,,,
All Causes,,,,260.0,21.8,195.9,341.3,0.6,332.6,29.4,153.0,78.8,67.4,2.5,3.2,867.3,3.1,128.9,109.7,2.1,98.6,4.8,72.2,39.5,15.8,1266.6,1.4,107.2,157.3,104.5,93.6,243.2,248.9,2.8,67.2,181.2,104.9,9911.3,246.7,5.8,34.8,22.9,284.8,54.1,94.0,8.1,110.9,232.9,735.4,50.1,7.2,62.3,82.9,571.4,40.6,8.7,32.1,15.1,721.2,6.3,52.6,558.9,14.0,16.3,49.4,875.4,231.0,120.7,0.9,87.1,123.2,18.6,6.3,91.0,36.1,124.1,2.1,9559.1,1842.5,361.9,194.5,30.0,42.6,625.3,19.1,1310.2,29.1,151.2,317.2,0.8,9.6,37.5,47.2,28.9,36.5,27.4,38.3,32.0,42.0,3.7,159.9,153.6,151.1,1.2,179.2,3.4,31.4,9.7,623.2,0.6,19.8,6.4,194.5,287.1,436.7,16.6,188.6,146.6,30.6,29.3,178.1,2203.6,40.4,12.0,1370.8,19.8,57.7,35.6,169.6,670.6,388.2,105.1,3.3,279.1,44.1,260.7,1999.2,71.3,1.3,0.9,1.0,1.2,106.3,91.9,105.8,0.7,91.0,27.2,50.8,19.8,3.0,136.6,538.0,130.6,396.3,142.6,300.2,3.9,12.0,90.7,65.2,144.8,46.4,552.2,20.1,8.4,64.1,0.6,12.8,73.3,447.2,40.6,291.1,673.6,15.1,572.6,415.1,2649.7,32.7,189.8,1.3,172.8,542.6,160.7,128.1,136.3,,,
"Communicable, maternal, perinatal and nutritional conditions",,,,102.5,0.8,31.5,210.9,0.1,40.9,0.9,7.2,1.5,6.5,0.4,0.2,219.0,0.4,3.1,8.3,0.4,51.6,1.1,16.7,0.8,7.8,176.0,0.2,2.5,87.5,59.4,26.4,134.2,13.8,0.6,40.4,118.8,9.2,423.0,26.0,2.8,18.6,1.5,151.1,1.1,7.6,0.3,5.6,27.7,437.5,3.2,3.4,10.9,13.3,63.5,4.7,4.4,14.9,0.4,353.0,0.7,0.7,36.0,6.4,9.0,1.4,39.9,105.7,4.0,0.1,21.9,72.7,11.4,1.3,28.2,5.3,2.3,0.1,2685.5,394.5,30.6,33.0,1.5,4.1,28.3,2.2,169.0,3.4,11.0,174.9,0.2,0.9,3.8,16.5,0.8,1.3,17.5,22.6,3.0,1.4,0.2,74.9,92.9,30.0,0.1,107.3,0.2,16.5,0.7,63.3,0.1,2.0,0.1,29.9,170.1,103.7,8.3,44.9,8.5,1.3,3.6,113.3,1442.7,2.8,1.5,477.3,3.2,19.8,5.3,37.2,169.2,15.1,10.4,0.2,27.1,1.9,10.8,120.9,28.8,0.1,0.1,0.1,0.5,12.8,43.5,2.5,0.1,54.0,5.7,2.4,1.0,0.7,93.4,234.8,79.9,18.4,11.0,109.0,0.5,6.2,5.3,2.7,7.8,12.2,101.1,0.3,3.7,33.7,0.1,1.1,6.1,24.7,5.5,154.0,25.1,1.0,40.0,226.3,142.1,2.7,27.7,0.2,19.1,70.5,39.9,77.8,78.1,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,,,37.4,0.1,7.8,94.4,0.0,5.7,0.3,2.3,0.5,1.2,0.3,0.1,117.9,0.1,2.2,1.6,0.2,22.5,0.6,3.8,0.2,5.3,53.5,0.1,0.4,44.1,27.6,15.1,78.8,6.0,0.2,23.6,57.6,2.8,118.6,9.4,1.0,11.9,0.5,77.6,0.4,1.2,0.1,1.9,17.3,218.3,0.8,1.8,4.6,3.7,11.8,1.1,2.3,6.9,0.1,182.8,0.2,0.3,9.0,3.8,3.9,0.5,14.1,51.9,0.6,0.0,5.9,39.6,6.6,0.5,11.5,2.3,0.8,0.0,1315.3,250.4,8.9,6.0,0.2,1.2,11.4,1.1,19.1,0.4,3.9,103.5,0.1,0.1,1.4,7.3,0.3,0.3,13.2,13.5,0.9,0.7,0.0,38.6,60.9,11.9,0.0,55.9,0.0,6.9,0.3,17.6,0.0,0.9,0.0,8.3,111.0,59.0,5.2,22.5,2.5,0.3,1.1,49.3,811.6,0.6,0.3,161.1,1.5,9.6,1.9,6.5,58.7,2.2,1.9,0.0,9.2,0.5,2.9,60.9,13.7,0.0,0.0,0.0,0.2,1.9,20.6,0.7,0.0,31.1,0.3,0.3,0.2,0.2,49.3,183.4,44.6,5.3,4.2,44.5,0.2,4.5,1.3,0.5,2.3,3.4,36.6,0.1,1.7,18.1,0.0,0.5,0.9,4.8,1.5,86.8,18.0,0.3,5.9,132.0,43.4,0.7,8.1,0.1,7.5,36.6,10.5,49.0,47.8,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,,13.3,0.0,3.1,11.0,0.0,0.7,0.1,0.0,0.1,0.0,0.0,0.0,69.1,0.0,0.9,0.1,0.0,1.0,0.1,0.4,0.1,0.6,5.8,0.0,0.1,1.6,2.6,8.0,6.8,0.1,0.0,2.1,3.1,0.5,33.6,1.4,0.1,2.2,0.1,4.9,0.0,0.0,0.0,0.1,15.2,48.3,0.0,0.3,0.5,0.6,0.2,0.1,0.1,0.6,0.0,24.2,0.1,0.0,0.6,1.0,0.4,0.2,0.4,9.8,0.1,0.0,0.4,4.4,1.4,0.1,2.0,0.1,0.1,0.0,470.6,98.1,1.3,1.0,0.0,0.0,0.6,0.0,3.6,0.0,2.3,8.9,0.0,0.0,0.7,3.5,0.1,0.1,1.2,3.7,0.6,0.2,0.0,10.1,2.3,2.3,0.0,1.6,0.0,0.8,0.0,2.6,0.0,0.6,0.0,3.2,18.9,26.1,0.8,5.3,0.0,0.0,0.2,3.8,175.1,0.0,0.0,43.9,0.2,3.0,0.3,2.0,30.3,0.5,0.2,0.0,3.4,0.3,1.1,18.0,0.4,0.0,0.0,0.0,0.0,0.7,3.4,0.1,.,4.3,0.1,0.0,0.0,0.1,6.6,25.3,3.3,0.3,1.2,7.9,0.0,0.4,0.0,0.0,0.0,0.2,8.3,0.0,1.1,0.5,0.0,0.0,0.2,0.7,0.5,5.3,6.6,0.0,0.3,28.9,0.6,0.1,2.7,0.0,0.8,15.3,1.1,4.7,1.7,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,,0.9,0.0,0.1,4.9,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.4,0.0,0.0,1.1,1.0,0.2,2.3,0.0,0.0,0.6,2.0,0.0,1.0,0.1,0.1,0.1,0.0,2.1,0.0,0.0,0.0,0.0,0.1,11.3,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.0,8.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.2,1.2,0.3,0.0,0.4,0.0,0.0,0.0,6.5,0.3,0.0,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.1,1.5,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.1,0.7,0.0,0.0,2.3,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.4,3.6,0.5,0.0,0.2,0.0,0.0,0.1,0.9,9.2,0.0,0.0,3.6,0.0,0.4,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,1.5,0.1,0.0,0.1,2.6,0.2,0.0,0.3,0.0,0.0,0.3,1.1,0.8,0.7,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Syphilis,0.9,0.0,0.1,4.9,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.4,0.0,0.0,1.1,0.9,0.2,2.3,0.0,0.0,0.6,2.0,0.0,1.0,0.1,0.1,0.1,0.0,2.1,0.0,0.0,0.0,0.0,0.1,11.2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.0,8.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.2,1.2,0.3,0.0,0.4,0.0,0.0,0.0,6.1,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.4,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.1,0.7,0.0,0.0,2.3,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.4,3.6,0.5,0.0,0.2,0.0,0.0,0.1,0.9,9.2,0.0,0.0,3.6,0.0,0.4,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,1.5,0.1,0.0,0.0,2.6,0.1,0.0,0.3,0.0,0.0,0.3,1.1,0.8,0.7,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Chlamydia,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Gonorrhoea,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Trichomoniasis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Genital herpes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
